17095,Rbj Schlegel Park,Portable,HURON RD,N,,541126.6928,4803037.2204
17096,Rbj Schlegel Park,Portable,FISCHER HALLMAN RD,N,,541345.5081,4803172.4829
17097,Rbj Schlegel Park,Portable,FISCHER HALLMAN RD,N,,541307.0906,4803138.2987
17098,Lions Park,Portable,RITTENHOUSE RD,N,,541762.1692,4806755.6413
17099,Lions Park,Portable,RITTENHOUSE RD,N,,541771.9177,4806704.9247
17100,Lions Park,Portable,RITTENHOUSE RD,N,,541773.0289,4806700.321
17101,Lions Park,Portable,BLOCK LINE RD,N,,541704.2075,4806740.3613
17112,Budd Park,Portable,,N,,544176.6415,4805473.894
17132,Mclennan Park,Portable,BARWOOD CRES,N,,541593.8066,4807317.0562
17133,Queen Elizabeth School Ball Diamond,Portable,KEHL ST,N,,541687.649,4808751.33
17134,Crosby Park,Portable,CROSBY DR,N,,544617.3762,4811147.9268
17135,Smithson Public School,Portable,BELLEVIEW AVE,N,,543555.9901,4811400.2957
17136,Upper Canada Park,Portable,PIONEER DR,N,,545820.1362,4804826.1309
2085699,Peter Hallman Ball Yard,City Facility Washroom,COURTLAND AVE E,,8:00-23:00 (Seasonal),543157.2972,4808038.042
17252,Bridgeport Community Centre,Community Centre Washroom,TYSON DR,Y,9:00-16:30 (M-F),542228.8894,4814563.6892
17254,Breithaupt Community Centre Washroom,Community Centre Washroom,MARGARET AVE,Y,"8:00-21:00 (M-F), 8:30-21:00 (Sat-Sun)",540761.4657,4812722.4258
17255,Kitchener City Hall,City Facility Washroom,YOUNG ST,U,24/7 using access card from Young St,541070.0656,4811112.7105
17256,Downtown Community Centre,Community Centre Washroom,ONTARIO ST N,Y,8:30-16:00 (M-F),541314.5733,4811146.7111
17257,Kitchener Memorial Auditorium Complex,City Facility Washroom,EUGENE GEORGE WAY,Y,8:00-16:00 (M-F),543129.898,4810617.0038
17272,Stanley Park Community Centre,Community Centre Washroom,MIDLAND DR,Y,9:00-21:00 (M-F),544612.0616,4810755.5884
17273,Rockway Centre Washroom,Community Centre Washroom,KING ST E,Y,8:30-16:30 (M-F),543164.9439,4809780.521
17275,Centreville Chicopee Community Centre,Community Centre Washroom,MORGAN AVE,Y,9:00-21:00 (M-F),546164.2856,4808578.3975
17276,Sportsworld Arena,City Facility Washroom,,Y,8:00-16:00 (M-F),548869.2074,4806671.0861
17278,Kitchener Operation Facility,City Facility Washroom,GOODRICH DR,,,545535.1478,4806933.0847
17279,Activa Sportsplex,City Facility Washroom,HOMER WATSON BLVD,Y,8:00-16:00 (M-F),542800.5592,4807837.5383
17280,Mil Courtland Community Centre,Community Centre Washroom,STIRLING AVE S,Y,"9:00-16:00 (M&F), 9:00-20:00 (Tu&Th)",541484.2398,4809608.2793
17282,Victoria Hills Community Centre,Community Centre Washroom,CHOPIN DR,Y,"9:00-20:00 (M-Th), 9:00-17:00 (F)",538552.7918,4810214.4326
17283,Forest Heights Community Centre,Community Centre Washroom,QUEENS BLVD,Y,"9:00-22:00 (M-Th), 9:00-17:30 (F)",538210.829,4808422.7726
17285,K.P.L. - Forest Heights Community Library,Library Washroom,FISCHER HALLMAN RD,Y,10:00-18:00 (M-Sat),538583.2158,4808268.7562
17287,Forest Heights  Community Centre,Community Centre Washroom,FISCHER HALLMAN RD,Y,"9:00-22:00 (M-Th), 9:00-17:30 (F)",538585.7993,4808252.1209
17289,Chandler Mowat Community Centre,Community Centre Washroom,CHANDLER DR,Y,12:00-16:00 (M-F),540465.7542,4807873.6474
17290,Country Hills Community Centre,Community Centre Washroom,RITTENHOUSE RD,Y,9:00-21:00 (M-F),541855.5574,4806618.6571
17291,K.P.L. - Country Hills Community Library,Library Washroom,HANOVER ST,N,10:00-18:00 (M-Sat),543080.8921,4807615.9273
17292,Lyle Hallman Pool,City Facility Washroom,HERITAGE DR,N,"8:00-21:00 (M-F), 8:30-20:00 (Sat-Sun)",545747.4682,4811711.1058
17294,Doon Pioneer Park Community Centre,Community Centre Washroom,PIONEER DR,Y,10:00-18:00 (M-F),545597.1667,4804746.7729
17295,Williamsburg Community Service,Community Centre Washroom,MAX BECKER DR,Y,9:00-16:00 (M-F),540329.8797,4805959.8655
17572,Kingsdale CC Restroom,Community Centre Washroom,SHELLEY DR,N,9:00-17:00 (M-F),543792.5523,4808640.0416
17573,Grand River Recreation Complex Restroom,Community Centre Washroom,HERITAGE DR,N,6:30-22:00,545847.2002,4811601.4147
19726,Budd Park Soccer Field 1,Portable,,,,544274.6066,4805472.3682
17018,Budd Park,Portable,HOMER WATSON BLVD,,,544216.6418,4805601.5552
